Name,Conversation_ID,NPC_Name,Dialogue_Text
1,1,Aki,"Now where are you heading to, Zeno?"
2,2,Aki ,This place has been shut down ever since Brooklyn became a server haven. What business does he have in there?
3,3,Rebel 1,"Your mission will be located on the first floor training city to your left, Zeno."
4,3,Zeno,"Alright, thank you."
5,4,Zeno,"Okay, let's get to work."
6,5,Aki,"(There are guards in the front. Should I try asking to go in, or find another way?)"
7,6,Rebel 1,Do you have any business here?
8,6,Aki ,"I saw someone else enter, why can’t I?"
9,6,Rebel 2,You can’t enter with us here. Get lost.
10,6,Aki,"Chill, alright. (No need to be so aggressive...)"
11,6,Aki,(I need to find a way around them.)
12,7,Aki,(This door is locked. Nothing but a good hack can help me bypass it.)
13,8,Aki,"(Lightwork. Now, where could Zeno be?)"
14,9,Aki,(Hold on... are those voices?)
15,9,Rebel 3,Have you seen the training facility on the first floor? We should go.
16,9,Rebel 4,Zeno has a training session there right now. Let’s go later.
17,9,Rebel 3,"Okay, cool."
18,9,Aki,(So that’s where he’s at…)
19,10,Aki,"That was amazing, how were you able to do that?"
20,10,Zeno,What are you doing here? You being here is putting us at risk.
21,10,Aki,...What are you talking about?
22,11,Huicq,"Aki, it’s been so long. How’d you get in here?"
23,11,Aki,"I used the door on the right. It was locked, but y’all security is trash."
24,11,Huicq,Oho!
25,11,Huicq,"Alright Aki, I need you to answer this whole heartedly, no lies, no deceit. "
26,11,Huicq,"If you want to leave, or if we don’t like your answers, we can just go back to being normal. You’ll forget everything."
27,14,Huicq,"Now tell me: which one to you means ""bewildered""?"
28,15,Huicq,Which one shows a narrow mind?
29,16,Huicq,Which one shows discrimination?
30,17,Huicq,"Your heart is pure, Aki. You have strong will and talent."
31,17,Huicq,"Even after we showed you the truths of the world, you haven’t shown any fear at all. "
32,17,Huicq,"Aki, will you be a part of the war? Will you be our comrade?"
33,18,Aki,"Yes, I’m in. I’ll be fighting for the greater cause."
34,18,Zeno,This will be rather interesting.
35,18,Huicq,Let’s get her started. 
36,18,Huicq,Just remember that there is no rush. You are the embodiment of your own choices. 
37,18,Huicq,The choices you make have weight. Never forget that.
